url,quote,source_field,context,outcome
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,No a russi e bielorussi,title,"Paralimpiadi, la controffensiva del governo: «No a russi e bielorussi». Ma sono già a Cortina e si allenano",
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,"Ci si è dimenticati troppo velocemente di quanto successo il 24 febbraio 2022 tra Olimpiadi e Paralimpiadi: tradendo la tregua olimpica, la Russia ha invaso l’Ucraina con la complicità della Bielorussia — ricorda Abodi —. Non è un tema secondario, non ci sono soltanto il dramma della guerra e le responsabilità, ma il tradimento della tregua olimpica. Ed è la ragione per cui, dopo la squalifica per doping di Stato, i russi e i bielorussi sono stati tenuti fuori dai Giochi Olimpici e Paralimpici",body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,"rischiano di essere le vittime, ci sono sempre stati, per rispettarli, anche se senza inno, bandiera e maglia — sottolinea il ministro —, ma vogliamo preservare la loro possibilità di competere. Ci dispiace perché quest’ultima decisione è stata presa unilateralmente, non in sintonia e in armonia con il Comitato olimpico internazionale, nella sovranità dei due organismi che sono autonomi e devono poter scegliere liberamente. Siamo molto amareggiati",body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,È una decisione che riguarda soprattutto il ministero degli Esteri,body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,neutrale,body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,"È brutto senza divisa, ma dobbiamo adattarci, tanto tutti sanno da quale Paese vengo",body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,"Lo sport non dovrebbe mai diventare vittima della politica, dovrebbe essere libero",body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,"Sconcerto suscita il fatto che gli attacchi vengano rivolti ad atleti russi e bielorussi portatori di disabilità . La posizione dura e poco diplomatica dei due esponenti politici italiani (Abodi e Tajani, ndr), forti dell’autorità del governo che rappresentano, risulta offensiva e merita una condanna generale",body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,L’Ipc è un’organizzazione indipendente. Hanno tenuto un’assemblea generale e hanno votato a favore. Questo è tutto,body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
https://roma.corriere.it/notizie/politica/26_febbraio_19/paralimpiadi-la-controffensiva-del-governo-no-a-russi-e-bielorussi-ma-sono-gia-a-cortina-e-si-allenano-abf31e59-1937-4c1b-bec5-1a9722bbexlk.shtml,"La mia opinione è nota, ma come Fondazione non abbiamo alcun potere. Sono membro del Cio, il Cio ha preso posizioni molto chiare, molto diverse da quelle dell’Ipc, ma come comitato organizzatore siamo tenuti, per rispetto del famoso Host City Contract, a dare servizio di organizzazione",body,Rinaldo Frignani Il Cremlino: lo sport è libero. Abodi e Tajani: non siamo stati consultati. Dopo 4 anni gli atleti di quei Paesi tornano alle competizioni con i loro simboli Alexey Bugaev Dal 15 febb,
